180199388	1801993b0	1801f3000	.?AVCWin32Heap@ATL@@
180199458	180199480	1801f3030	.?AUIAtlMemMgr@ATL@@
1801994a8	1801994e0	1801f3060	.?AVCAtlStringMgr@ATL@@
180199588	1801995b0	1801f3090	.?AUIAtlStringMgr@ATL@@
1801998c8	180199ad0	1801f30c0	.?AVCDeviceAccess@@
180199b70	180199b90	1801f3120	.?AV?$basic_fstream@DU?$char_traits@D@std@@@std@@
180199e78	180199ef0	1801f3300	.?AV?$basic_filebuf@DU?$char_traits@D@std@@@std@@
180199f98	18019a010	1801f3350	.?AV?$basic_streambuf@DU?$char_traits@D@std@@@std@@
18019a058	18019a070	1801f33a0	.?AVbad_array_new_length@std@@
18019a158	18019a170	1801f33d0	.?AVbad_alloc@std@@
18019a198	18019a1b0	1801f3400	.?AVexception@std@@
18019a1f8	18019a250	1801f3430	.?AV?$codecvt@DDU_Mbstatet@@@std@@
18019a200	180009940	1800010ba	
18019a3f8	18019a430	1801f3470	.?AVcodecvt_base@std@@
18019a458	18019a470	1801f34a0	.?AVfacet@locale@std@@
18019a498	18019a4b0	1801f34d0	.?AV_Facet_base@std@@
18019a4d8	18019a4f0	1801f3530	.?AVbad_cast@std@@
18019a558	18019a560	1801f3250	.?AVios_base@std@@
18019a598	18019a5f0	1801f30f0	.?AVIRzDeviceControl@@
18019a628	18019a640	1801f3560	.?AVother_error@detail@nlohmann@@
18019a6e8	18019a700	1801f35a0	.?AVexception@detail@nlohmann@@
18019a728	18019a740	1801f35d0	.?AVruntime_error@std@@
18019a7d8	18019a7f0	1801f3600	.?AVtype_error@detail@nlohmann@@
18019a8c8	18019a8d0	1801f3210	.?AV?$basic_ios@DU?$char_traits@D@std@@@std@@
18019a8f0	18019a900	1801f3170	.?AV?$basic_iostream@DU?$char_traits@D@std@@@std@@
18019a920	18019a930	1801f31c0	.?AV?$basic_istream@DU?$char_traits@D@std@@@std@@
18019a988	18019a980	UNRESOLVED	Unable to read bytes at ram:7465732074696e
18019a9a8	18019a9e0	1801f36d0	.?AV_Iostream_error_category2@std@@
18019aab8	18019aad0	1801f3640	.?AVfailure@ios_base@std@@
18019abd8	18019abf0	1801f3670	.?AVsystem_error@std@@
18019ac18	18019ac30	1801f36a0	.?AV_System_error@std@@
18019ac58	18019acb0	1801f3740	.?AV?$ctype@D@std@@
18019ac60	18019ac58	UNRESOLVED	Address ram:24326059d does not exist in memory
18019ad78	18019ad90	1801f3770	.?AUctype_base@std@@
18019adb0	18019adc0	1801f32b0	.?AV?$basic_ostream@DU?$char_traits@D@std@@@std@@
18019ba28	18019ba40	1801f37e0	.?AVinvalid_iterator@detail@nlohmann@@
18019bb38	18019bb50	1801f37a0	.?AVout_of_range@detail@nlohmann@@
18019bbc8	18019bbe0	1801f3820	.?AVparse_error@detail@nlohmann@@
18019c848	18019c880	1801f3860	.?AV?$_Func_impl_no_alloc@V<lambda_2>@?0??IdentifyDevice@CEngineManager@@QEAAJAEBV?$basic_json@Vmap@std@@Vvector@2@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@2@_N_J_KNVallocator@2@Uadl_serializer@nlohmann@@V?$vector@EV?$allocator@E@std@@@2@@n
18019c908	18019c940	1801f3ab0	.?AV?$_Func_impl_no_alloc@V<lambda_3>@?0??IdentifyDevice@CEngineManager@@QEAAJAEBV?$basic_json@Vmap@std@@Vvector@2@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@2@_N_J_KNVallocator@2@Uadl_serializer@nlohmann@@V?$vector@EV?$allocator@E@std@@@2@@n
18019d2e8	18019d320	1801f3d40	.?AV?$_Func_impl_no_alloc@V<lambda_0>@?0??SetOperatingMode@RzLightingEngineAPI@@9@XAEBV?$basic_json@Vmap@std@@Vvector@2@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@2@_N_J_KNVallocator@2@Uadl_serializer@nlohmann@@V?$vector@EV?$allocator@E@std@@
18019d3a8	18019d3d0	1801f3ec0	.?AV?$_Ref_count_resource@PEAXV<lambda_1>@?0??GetSignerSubjectOfPeFile@RzLightingEngineAPI@@YA?AUSignerSubject@3@PEB_W@Z@@std@@
18019d3b0	18019d3a8	UNRESOLVED	Address ram:1ea6e260f does not exist in memory
18019d438	18019d460	1801f3fc0	.?AV?$_Ref_count_resource@PEAXV<lambda_2>@?0??GetSignerSubjectOfPeFile@RzLightingEngineAPI@@YA?AUSignerSubject@3@PEB_W@Z@@std@@
18019d440	18003f830	180186a00	LJD·JD¶RL
18019d4c8	18019d4f0	1801f40c0	.?AV?$_Ref_count_resource@PEAU_CERT_CONTEXT@@V<lambda_3>@?0??GetSignerSubjectOfPeFile@RzLightingEngineAPI@@YA?AUSignerSubject@4@PEB_W@Z@@std@@
18019d4d0	18003f8c0	180186960	ÿÄ¡~o
`ÿÿÿÄ¡}ç	`ÿÿÿÄ¡~oL
Ä¡}çL	Ä¡~oL
 Ä¡}çL	 Ä¡~oL
ÀÄ¡}çL	ÀÄ¡~làÅþ
18019d888	18019d8b0	1801f41d0	.?AV?$_Ref_count_obj2@V?$output_string_adapter@DV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@detail@nlohmann@@@std@@
18019d958	18019d970	1801f42a0	.?AV?$output_string_adapter@DV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@detail@nlohmann@@
18019da18	18019da30	1801f4320	.?AU?$output_adapter_protocol@D@detail@nlohmann@@
18019ed28	18019ed30	1801f4460	.?AVCDeviceFrame@RzLightingEngineAPI@@
18019ed88	18019edc0	1801f44a0	.?AV?$_Func_impl_no_alloc@V?$_Binder@U_Unforced@std@@P8CDeviceFrame@RzLightingEngineAPI@@EAAXXZPEAV34@@std@@X$$V@std@@
18019eda8	18019eda0	UNRESOLVED	Address ram:24cccccdc does not exist in memory
18019ee68	18019ee80	1801f45d0	.?AVCTimer@@
18019eed8	18019ef20	1801f45f0	.?AVIdentifyEngineImpl@@
18019eef8	18019efe0	1801f45f0	.?AVIdentifyEngineImpl@@
18019f008	18019f030	1801f4620	.?AVIdentifyEngine@@
18019f058	18019f070	1801f4650	.?AVbad_variant_access@std@@
18019f0f8	18019f120	1801f4680	.?AVMediaCallback@?A0xC887107F@@
1801a14b8	1801a14e0	1801f46c0	.?AV?$RuntimeClass@U?$RuntimeClassFlags@$01@WRL@Microsoft@@UIMFMediaEngineNotify@@@WRL@Microsoft@@
1801a1508	1801a1540	1801f4a30	.?AV?$_Func_impl_no_alloc@V?$_Binder@U_Unforced@std@@P8Impl@MediaPlayer@@EAAXXZPEAV34@@std@@X$$V@std@@
1801a1528	1801a1520	UNRESOLVED	Address ram:24cccccdc does not exist in memory
1801a2428	1801c35a8	1801f6cd8	.?AVtype_info@@
1801a2518	1801c3620	1801f6cf8	.?AV_Locimp@locale@std@@
1801a3660	1801c36b0	1801f6d28	.?AV_Generic_error_category@std@@
1801a36b0	1801c3730	1801f6c58	.?AVbad_function_call@std@@
1801a36e0	1801c37b0	1801f6bb0	.?AVlogic_error@std@@
1801a36f8	1801c3830	1801f6b80	.?AVinvalid_argument@std@@
1801a3710	1801c38b8	1801f6bd8	.?AVlength_error@std@@
1801a3728	1801c3940	1801f6c00	.?AVout_of_range@std@@
1801a3740	1801c39c8	1801f6c28	.?AVoverflow_error@std@@
1801a3758	1801c3a50	1801f6c88	.?AVregex_error@std@@
1801a8220	1801a82e0	1801f4cd0	.?AVCFileLogger@@
1801a83c8	1801a8610	1801f4d30	.?AVCDevice@@
1801a8478	1801a87e0	1801f4d30	.?AVCDevice@@
1801a8510	1801a8508	UNRESOLVED	Address ram:186ba3050 does not exist in memory
1801a8528	1801a8800	1801f4d30	.?AVCDevice@@
1801a8828	1801a88d0	1801f4d50	.?AVCLightingDevice@@
1801a88f0	1801a8900	1801f4df0	.?AVCriticalSection@@
1801a89a8	1801a8cd0	1801f4e20	.?AVCEffectEngine@@
1801a8a78	1801a8d90	1801f4e20	.?AVCEffectEngine@@
1801a8db8	1801a8e80	1801f4e50	.?AVCLightingEngine@@
1801a9248	1801c3ad8	1801f6d60	.?AV?$num_get@DV?$istreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@
